"2020-05-14 13:51:36",2,2,1,1,1,1,1,2,1,1,1,2,228,1,0,1,0,3,0,"N
"2020-05-14 13:55:19",2,1,1,1,1,1,1,2,1,1,1,2,229,1,1,0,0,2,0,"N
"2020-05-14 13:59:58",2,2,2,3,2,4,1,3,2,3,2,2,230,1,2,0,0,0,0,"N
"2020-05-14 15:50:25",13,0,1,1,2,1,1,0,1,1,1,2,231,1,3,1,0,1,0,"N
"2020-05-14 16:38:02",5,2,1,1,1,1,1,1,1,3,1,1,232,1,3,4,0,1,1,"N
"2020-05-14 17:04:20",1,3,2,1,2,3,3,2,2,2,2,1,233,1,0,0,0,2,1,"N
"2020-05-14 17:17:39",9,2,2,2,2,2,3,2,3,3,2,1,236,1,0,1,0,1,1,"N
"2020-05-14 17:28:22",2,2,2,3,1,4,4,2,2,3,2,2,237,3,1,1,0,2,0,"N
"2020-05-14 17:54:10",2,2,2,2,1,1,3,2,3,3,1,1,240,3,1,1,1,1,0,"N
"2020-05-14 18:40:38",1,2,1,1,1,1,1,1,0,1,1,2,241,1,1,1,0,2,0,"N
"2020-05-14 20:47:34",5,1,1,2,2,1,1,1,1,4,2,2,242,1,1,4,0,2,0,"N
"2020-05-15 01:28:16",8,2,2,1,2,2,5,1,1,4,2,2,243,1,2,0,0,3,1,"N
"2020-05-15 11:31:41",1,2,1,1,2,3,2,2,2,3,1,2,245,1,2,1,0,0,0,"N
"2020-05-15 12:22:39",5,3,2,2,2,2,6,2,3,2,1,1,246,1,2,0,1,1,0,"N
"2020-05-15 15:59:55",2,0,1,1,1,1,1,1,1,1,1,2,248,1,0,1,0,3,0,"N
"2020-05-15 16:14:30",7,3,0,1,1,2,1,1,2,1,1,2,251,1,2,0,1,1,0,"N
"2020-05-15 18:43:59",1,0,2,1,2,1,1,1,2,2,1,2,252,1,5,4,4,5,0,"N
"2020-05-15 19:17:38",1,2,1,1,1,1,1,1,1,1,1,2,253,1,5,4,4,5,0,"N
"2020-05-15 19:33:07",5,2,1,1,1,1,1,1,2,1,2,1,254,1,2,3,0,0,1,"N
"2020-05-15 22:18:01",2,2,1,2,1,2,4,2,2,2,1,1,257,1,0,0,0,1,0,"N
"2020-05-15 22:18:44",2,2,1,2,2,2,4,2,2,2,1,1,258,1,0,0,0,1,0,"N
"2020-05-15 22:21:21",20,1,2,3,2,5,6,3,3,4,2,2,259,1,0,0,0,0,0,"N
"2020-05-16 00:23:46",7,3,2,2,2,2,2,2,2,3,2,1,267,4,3,2,1,2,0,"N
"2020-05-16 02:00:31",7,3,1,0,1,2,1,1,2,1,1,2,268,1,2,0,0,1,0,"N
"2020-05-16 06:38:20",1,2,1,1,1,1,1,1,1,1,1,2,269,1,0,0,0,2,1,"N
"2020-05-16 19:09:29",1,2,1,1,2,1,1,2,2,1,1,1,270,1,0,1,0,2,1,"N
"2020-05-16 19:09:30",1,2,1,1,2,1,1,2,2,1,1,1,271,1,0,1,0,2,1,"N
"2020-05-16 21:06:48",10,3,2,1,2,1,1,1,2,1,1,2,272,1,4,0,0,2,1,"N
"2020-05-17 03:42:36",1,4,2,3,2,5,6,3,3,4,2,2,273,1,5,4,4,5,0,"N
"2020-05-17 17:43:56",2,0,1,1,0,1,1,1,1,0,0,2,277,1,0,1,0,3,0,"N
"2020-05-18 19:28:55",1,1,2,3,2,4,5,3,3,4,0,1,298,4,4,1,1,2,0,"N
"2020-05-18 19:28:56",1,1,2,3,2,4,5,3,3,4,0,1,299,4,4,1,1,0,0,"N
"2020-05-18 21:39:40",2,0,2,1,2,2,1,1,1,3,1,2,303,8,1,1,4,3,0,"N
"2020-05-19 01:04:05",5,2,2,3,2,5,1,3,1,4,2,2,304,1,1,0,0,3,1,"N
"2020-05-19 01:40:13",2,2,2,2,2,4,3,2,3,2,2,2,305,13,2,0,0,2,1,"N
"2020-05-19 05:27:30",1,0,2,1,2,2,1,2,1,2,1,2,306,1,1,0,0,3,0,"N
"2020-05-19 07:05:27",1,1,1,1,1,1,1,1,1,2,0,2,307,2,0,0,0,2,1,"N
"2020-05-19 09:12:44",5,0,0,1,2,5,1,3,1,1,2,2,308,13,2,0,0,3,1,"N
"2020-05-19 10:10:34",2,0,0,0,0,3,5,2,3,3,1,1,309,3,1,0,0,0,0,"N
"2020-05-19 10:13:04",1,3,1,2,2,5,6,3,3,3,2,1,310,4,3,1,0,2,1,"N
"2020-05-19 10:27:18",3,2,1,1,1,1,1,1,1,1,1,1,311,3,2,0,2,3,0,"N
"2020-05-19 16:21:41",2,1,2,2,2,2,1,1,1,0,0,2,312,4,1,0,1,3,0,"N
"2020-05-19 17:00:05",9,0,0,0,0,0,0,0,0,0,0,2,314,4,5,4,4,5,0,"N
"2020-05-19 17:15:23",3,2,1,2,2,3,6,2,1,3,0,2,315,3,4,0,1,2,0,"N
"2020-05-19 18:23:03",2,3,2,2,2,2,3,2,2,1,1,1,316,2,3,1,0,0,0,"N
"2020-05-19 18:23:16",1,2,2,3,1,3,3,2,3,1,1,1,317,1,0,0,0,2,0,"N
"2020-05-19 19:54:15",2,4,0,0,0,4,5,0,0,0,0,1,320,3,2,2,2,3,0,"N
"2020-05-19 20:19:14",4,1,1,2,1,2,2,1,1,1,2,1,321,1,1,1,1,2,1,"N
"2020-05-19 20:49:24",3,2,2,2,2,2,1,2,1,4,2,2,322,7,2,4,0,0,0,"N
"2020-05-19 22:23:01",2,1,2,2,2,4,1,1,1,4,2,2,323,1,1,0,0,3,0,"N
"2020-05-20 08:31:38",2,0,1,1,1,1,1,0,1,0,1,2,324,3,0,0,4,3,0,"N
"2020-05-20 14:35:27",18,2,1,1,2,1,1,1,1,3,1,2,325,1,3,1,0,3,0,"N
"2020-05-21 03:44:01",1,0,1,1,1,1,1,1,1,1,1,2,330,1,1,0,0,3,1,"N
"2020-05-21 10:26:12",6,2,1,1,2,2,1,2,2,3,1,2,331,1,1,0,0,2,1,"N
"2020-05-21 15:51:23",3,2,1,1,2,3,1,1,1,1,1,2,332,1,0,0,0,2,0,"N
"2020-05-21 16:00:45",1,0,2,1,1,5,5,3,2,4,1,2,333,1,1,0,0,2,0,"N
"2020-05-21 16:45:56",4,2,2,2,2,5,3,1,1,2,2,2,334,4,2,1,1,3,1,"N
"2020-05-21 16:46:04",1,0,1,1,2,3,1,1,1,1,1,2,335,1,0,0,0,3,0,"N
"2020-05-21 19:21:51",5,3,2,2,2,2,1,2,1,3,1,2,336,1,2,0,0,0,0,"N
"2020-05-21 20:16:37",4,2,1,3,2,3,4,1,2,1,2,1,337,2,1,0,1,2,0,"N
"2020-05-21 20:26:24",3,3,2,0,0,2,3,1,2,1,1,1,338,7,2,1,4,2,1,"N
"2020-05-22 08:38:21",4,2,2,1,1,2,2,1,3,1,1,2,340,3,1,1,0,0,0,"N
